Quantidade de componentes conexas: 1648
Componente 228: tamanho = 28
Componente 229: tamanho = 3
Componente 230: tamanho = 6
Componente 231: tamanho = 6
Componente 232: tamanho = 7
Componente 233: tamanho = 2
Componente 234: tamanho = 7
Componente 235: tamanho = 2
Componente 236: tamanho = 5
Componente 237: tamanho = 8
Componente 238: tamanho = 12
Componente 239: tamanho = 7
Componente 240: tamanho = 5
Componente 241: tamanho = 3
Componente 242: tamanho = 15
Componente 243: tamanho = 8
Componente 244: tamanho = 2
Componente 245: tamanho = 3
Componente 246: tamanho = 3
Componente 247: tamanho = 30
Componente 248: tamanho = 6
Componente 249: tamanho = 4
Componente 250: tamanho = 10
Componente 251: tamanho = 6
Componente 252: tamanho = 2
Componente 253: tamanho = 7
Componente 254: tamanho = 3
Componente 255: tamanho = 8
Componente 256: tamanho = 4
Componente 257: tamanho = 4
Componente 258: tamanho = 8
Componente 259: tamanho = 4
Componente 260: tamanho = 9
Componente 261: tamanho = 5
Componente 262: tamanho = 3
Componente 263: tamanho = 5
Componente 264: tamanho = 2
Componente 265: tamanho = 10
Componente 266: tamanho = 20
Componente 267: tamanho = 3
Componente 268: tamanho = 5
Componente 269: tamanho = 7
Componente 270: tamanho = 3
Componente 271: tamanho = 3
Componente 272: tamanho = 5
Componente 273: tamanho = 4
Componente 274: tamanho = 3
Componente 275: tamanho = 3
Componente 276: tamanho = 3
Componente 277: tamanho = 3
Componente 278: tamanho = 3
Componente 279: tamanho = 27
Componente 280: tamanho = 6
Componente 281: tamanho = 8
Componente 282: tamanho = 3
Componente 283: tamanho = 2
Componente 284: tamanho = 10
Componente 285: tamanho = 11
Componente 286: tamanho = 3
Componente 287: tamanho = 3
Componente 288: tamanho = 6
Componente 289: tamanho = 11
Componente 290: tamanho = 2
Componente 291: tamanho = 3
Componente 292: tamanho = 7
Componente 293: tamanho = 4
Componente 294: tamanho = 2
Componente 295: tamanho = 3
Componente 296: tamanho = 2
Componente 297: tamanho = 3
Componente 298: tamanho = 2
Componente 299: tamanho = 5
Componente 300: tamanho = 10
Componente 301: tamanho = 2
Componente 302: tamanho = 4
Componente 303: tamanho = 3
Componente 304: tamanho = 3
Componente 305: tamanho = 9
Componente 306: tamanho = 8
Componente 307: tamanho = 2
Componente 308: tamanho = 2
Componente 309: tamanho = 2
Componente 310: tamanho = 15
Componente 311: tamanho = 4
Componente 312: tamanho = 3
Componente 313: tamanho = 4
Componente 314: tamanho = 4
Componente 315: tamanho = 4
Componente 316: tamanho = 5
Componente 317: tamanho = 4
Componente 318: tamanho = 5
Componente 319: tamanho = 15
Componente 320: tamanho = 6
Componente 321: tamanho = 2
Componente 322: tamanho = 3
Componente 323: tamanho = 13
Componente 324: tamanho = 12
Componente 325: tamanho = 2
Componente 326: tamanho = 8
Componente 327: tamanho = 16
Componente 328: tamanho = 2
Componente 329: tamanho = 11
Componente 330: tamanho = 4
Componente 331: tamanho = 2
Componente 332: tamanho = 5
Componente 333: tamanho = 7
Componente 334: tamanho = 12
Componente 335: tamanho = 3
Componente 336: tamanho = 8
Componente 337: tamanho = 3
Componente 338: tamanho = 5
Componente 339: tamanho = 15
Componente 340: tamanho = 7
Componente 341: tamanho = 18
Componente 342: tamanho = 10
Componente 343: tamanho = 3
Componente 344: tamanho = 35
Componente 345: tamanho = 7
Componente 346: tamanho = 10
Componente 347: tamanho = 5
Componente 348: tamanho = 2
Componente 349: tamanho = 2
Componente 350: tamanho = 9
Componente 351: tamanho = 3
Componente 352: tamanho = 52
Componente 353: tamanho = 7
Componente 354: tamanho = 30
Componente 355: tamanho = 3
Componente 356: tamanho = 2
Componente 357: tamanho = 4
Componente 358: tamanho = 4
Componente 359: tamanho = 2
Componente 360: tamanho = 7
Componente 361: tamanho = 3
Componente 362: tamanho = 4
Componente 363: tamanho = 2
Componente 364: tamanho = 10
Componente 365: tamanho = 8
Componente 366: tamanho = 8
Componente 367: tamanho = 3
Componente 368: tamanho = 8
Componente 369: tamanho = 8
Componente 370: tamanho = 7
Componente 371: tamanho = 3
Componente 372: tamanho = 6
Componente 373: tamanho = 12
Componente 374: tamanho = 10
Componente 375: tamanho = 5
Componente 376: tamanho = 3
Componente 377: tamanho = 10
Componente 378: tamanho = 2
Componente 379: tamanho = 3
Componente 380: tamanho = 22
Componente 381: tamanho = 3
Componente 382: tamanho = 4
Componente 383: tamanho = 2
Componente 384: tamanho = 4
Componente 385: tamanho = 4
Componente 386: tamanho = 2
Componente 387: tamanho = 3
Componente 388: tamanho = 6
Componente 389: tamanho = 4
Componente 390: tamanho = 9
Componente 391: tamanho = 8
Componente 392: tamanho = 6
Componente 393: tamanho = 4
Componente 394: tamanho = 3
Componente 395: tamanho = 2
Componente 396: tamanho = 12
Componente 397: tamanho = 5
Componente 398: tamanho = 2
Componente 399: tamanho = 3
Componente 400: tamanho = 11
Componente 401: tamanho = 6
Componente 402: tamanho = 3
Componente 403: tamanho = 2
Componente 404: tamanho = 3
Componente 405: tamanho = 6
Componente 406: tamanho = 2
Componente 407: tamanho = 2
Componente 408: tamanho = 7
Componente 409: tamanho = 4
Componente 410: tamanho = 4
Componente 411: tamanho = 7
Componente 412: tamanho = 10
Componente 413: tamanho = 7
Componente 414: tamanho = 10
Componente 415: tamanho = 2
Componente 416: tamanho = 4
Componente 417: tamanho = 4
Componente 418: tamanho = 35
Componente 419: tamanho = 2
Componente 420: tamanho = 2
Componente 421: tamanho = 10
Componente 422: tamanho = 11
Componente 423: tamanho = 3
Componente 424: tamanho = 4
Componente 425: tamanho = 2
Componente 426: tamanho = 4
Componente 427: tamanho = 2
Componente 428: tamanho = 8
Componente 429: tamanho = 2
Componente 430: tamanho = 16
Componente 431: tamanho = 7
Componente 432: tamanho = 3
Componente 433: tamanho = 3
Componente 434: tamanho = 4
Componente 435: tamanho = 5
Componente 436: tamanho = 3
Componente 437: tamanho = 4
Componente 438: tamanho = 2
Componente 439: tamanho = 20
Componente 440: tamanho = 4
Componente 441: tamanho = 8
Componente 442: tamanho = 2
Componente 443: tamanho = 5
Componente 444: tamanho = 3
Componente 445: tamanho = 3
Componente 446: tamanho = 4
Componente 447: tamanho = 3
Componente 448: tamanho = 3
Componente 449: tamanho = 5
Componente 450: tamanho = 2
Componente 451: tamanho = 4
Componente 452: tamanho = 2
Componente 453: tamanho = 2
Componente 454: tamanho = 2
Componente 455: tamanho = 11
Componente 456: tamanho = 6
Componente 457: tamanho = 6
Componente 458: tamanho = 9
Componente 459: tamanho = 3
Componente 460: tamanho = 2
Componente 461: tamanho = 4
Componente 462: tamanho = 21
Componente 463: tamanho = 5
Componente 464: tamanho = 6
Componente 465: tamanho = 4
Componente 466: tamanho = 7
Componente 467: tamanho = 5
Componente 468: tamanho = 48
Componente 469: tamanho = 5
Componente 470: tamanho = 2
Componente 471: tamanho = 9
Componente 472: tamanho = 8
Componente 473: tamanho = 5
Componente 474: tamanho = 26
Componente 475: tamanho = 4
Componente 476: tamanho = 3
Componente 477: tamanho = 14
Componente 478: tamanho = 3
Componente 479: tamanho = 2
Componente 480: tamanho = 3
Componente 481: tamanho = 4
Componente 482: tamanho = 4
Componente 483: tamanho = 9
Componente 484: tamanho = 10
Componente 485: tamanho = 3
Componente 486: tamanho = 4
Componente 487: tamanho = 2
Componente 488: tamanho = 3
Componente 489: tamanho = 3
Componente 490: tamanho = 6
Componente 491: tamanho = 11
Componente 492: tamanho = 4
Componente 493: tamanho = 3
Componente 494: tamanho = 10
Componente 495: tamanho = 30
Componente 496: tamanho = 8
Componente 497: tamanho = 4
Componente 498: tamanho = 2
Componente 499: tamanho = 8
Componente 500: tamanho = 14
Componente 501: tamanho = 6
Componente 502: tamanho = 5
Componente 503: tamanho = 10
Componente 504: tamanho = 3
Componente 505: tamanho = 3
Componente 506: tamanho = 3
Componente 507: tamanho = 4
Componente 508: tamanho = 4
Componente 509: tamanho = 2
Componente 510: tamanho = 5
Componente 511: tamanho = 5
Componente 512: tamanho = 4
Componente 513: tamanho = 8
Componente 514: tamanho = 10
Componente 515: tamanho = 5
Componente 516: tamanho = 27
Componente 517: tamanho = 3
Componente 518: tamanho = 2
Componente 519: tamanho = 6
Componente 520: tamanho = 3
Componente 521: tamanho = 5
Componente 522: tamanho = 8
Componente 523: tamanho = 5
Componente 524: tamanho = 3
Componente 525: tamanho = 6
Componente 526: tamanho = 8
Componente 527: tamanho = 7
Componente 528: tamanho = 3
Componente 529: tamanho = 3
Componente 530: tamanho = 9
Componente 531: tamanho = 3
Componente 532: tamanho = 3
Componente 533: tamanho = 3
Componente 534: tamanho = 3
Componente 535: tamanho = 3
Componente 536: tamanho = 2
Componente 537: tamanho = 3
Componente 538: tamanho = 3
Componente 539: tamanho = 8
Componente 540: tamanho = 2
Componente 541: tamanho = 5
Componente 542: tamanho = 26
Componente 543: tamanho = 10
Componente 544: tamanho = 12
Componente 545: tamanho = 8
Componente 546: tamanho = 3
Componente 547: tamanho = 2
Componente 548: tamanho = 2
Componente 549: tamanho = 5
Componente 550: tamanho = 10
Componente 551: tamanho = 3
Componente 552: tamanho = 4
Componente 553: tamanho = 3
Componente 554: tamanho = 3
Componente 555: tamanho = 5
Componente 556: tamanho = 7
Componente 557: tamanho = 3
Componente 558: tamanho = 7
Componente 559: tamanho = 8
Componente 560: tamanho = 11
Componente 561: tamanho = 13
Componente 562: tamanho = 2
Componente 563: tamanho = 4
Componente 564: tamanho = 5
Componente 565: tamanho = 5
Componente 566: tamanho = 4
Componente 567: tamanho = 5
Componente 568: tamanho = 5
Componente 569: tamanho = 11
Componente 570: tamanho = 8
Componente 571: tamanho = 7
Componente 572: tamanho = 3
Componente 573: tamanho = 12
Componente 574: tamanho = 5
Componente 575: tamanho = 4
Componente 576: tamanho = 3
Componente 577: tamanho = 3
Componente 578: tamanho = 3
Componente 579: tamanho = 13
Componente 580: tamanho = 3
Componente 581: tamanho = 4
Componente 582: tamanho = 6
Componente 583: tamanho = 3
Componente 584: tamanho = 2
Componente 585: tamanho = 4
Componente 586: tamanho = 11
Componente 587: tamanho = 5
Componente 588: tamanho = 5
Componente 589: tamanho = 5
Componente 590: tamanho = 3
Componente 591: tamanho = 15
Componente 592: tamanho = 15
Componente 593: tamanho = 3
Componente 594: tamanho = 4
Componente 595: tamanho = 10
Componente 596: tamanho = 2
Componente 597: tamanho = 8
Componente 598: tamanho = 5
Componente 599: tamanho = 13
Componente 600: tamanho = 4
Componente 601: tamanho = 2
Componente 602: tamanho = 8
Componente 603: tamanho = 6
Componente 604: tamanho = 2
Componente 605: tamanho = 3
Componente 606: tamanho = 8
Componente 607: tamanho = 3
Componente 608: tamanho = 30
Componente 609: tamanho = 12
Componente 610: tamanho = 8
Componente 611: tamanho = 3
Componente 612: tamanho = 8
Componente 613: tamanho = 6
Componente 614: tamanho = 2
Componente 615: tamanho = 2
Componente 616: tamanho = 3
Componente 617: tamanho = 24
Componente 618: tamanho = 2
Componente 619: tamanho = 3
Componente 620: tamanho = 4
Componente 621: tamanho = 2
Componente 622: tamanho = 3
Componente 623: tamanho = 3
Componente 624: tamanho = 2
Componente 625: tamanho = 4
Componente 626: tamanho = 2
Componente 627: tamanho = 3
Componente 628: tamanho = 5
Componente 629: tamanho = 9
Componente 630: tamanho = 3
Componente 631: tamanho = 4
Componente 632: tamanho = 2
Componente 633: tamanho = 5
Componente 634: tamanho = 7
Componente 635: tamanho = 6
Componente 636: tamanho = 15
Componente 637: tamanho = 4
Componente 638: tamanho = 5
Componente 639: tamanho = 5
Componente 640: tamanho = 6
Componente 641: tamanho = 6
Componente 642: tamanho = 9
Componente 643: tamanho = 12
Componente 644: tamanho = 3
Componente 645: tamanho = 12
Componente 646: tamanho = 5
Componente 647: tamanho = 3
Componente 648: tamanho = 3
Componente 649: tamanho = 7
Componente 650: tamanho = 8
Componente 651: tamanho = 2
Componente 652: tamanho = 2
Componente 653: tamanho = 5
Componente 654: tamanho = 2
Componente 655: tamanho = 2
Componente 656: tamanho = 5
Componente 657: tamanho = 4
Componente 658: tamanho = 3
Componente 659: tamanho = 9
Componente 660: tamanho = 3
Componente 661: tamanho = 3
Componente 662: tamanho = 11
Componente 663: tamanho = 6
Componente 664: tamanho = 7
Componente 665: tamanho = 5
Componente 666: tamanho = 6
Componente 667: tamanho = 2
Componente 668: tamanho = 5
Componente 669: tamanho = 3
Componente 670: tamanho = 12
Componente 671: tamanho = 8
Componente 672: tamanho = 4
Componente 673: tamanho = 2
Componente 674: tamanho = 2
Componente 675: tamanho = 4
Componente 676: tamanho = 3
Componente 677: tamanho = 3
Componente 678: tamanho = 5
